epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,408.025,0.90481,1.07878,0.80051,0.64612,0.83208,0.78013,0.59721,0.87826,1.00917,0.81111,0.00010525,0.00010525,0.00010525
86,412.688,0.93418,1.11153,0.7976,0.63546,0.85565,0.77128,0.60123,0.86599,1.01092,0.81052,9.90625e-05,9.90625e-05,9.90625e-05
87,417.402,0.86729,1.03999,0.80097,0.66585,0.84054,0.774,0.60513,0.85811,0.98039,0.81057,9.2875e-05,9.2875e-05,9.2875e-05
88,422.08,0.89891,1.08453,0.79729,0.65189,0.8514,0.78011,0.60376,0.87374,0.97538,0.81117,8.66875e-05,8.66875e-05,8.66875e-05
89,426.769,0.89076,1.05507,0.79591,0.65062,0.83564,0.7825,0.60844,0.87397,0.98276,0.8117,8.05e-05,8.05e-05,8.05e-05
90,431.474,0.91538,1.09142,0.79664,0.63331,0.82753,0.77899,0.60183,0.87825,1.01332,0.81232,7.43125e-05,7.43125e-05,7.43125e-05
91,435.967,0.8329,1.13336,0.7995,0.69225,0.8405,0.80418,0.62177,0.8739,0.94334,0.81155,6.8125e-05,6.8125e-05,6.8125e-05
92,440.515,0.83178,1.08232,0.80072,0.65258,0.84077,0.77478,0.60672,0.85711,0.96873,0.81052,6.19375e-05,6.19375e-05,6.19375e-05
93,445.039,0.8229,1.06575,0.8021,0.66908,0.83423,0.78027,0.60717,0.85782,0.94862,0.81068,5.575e-05,5.575e-05,5.575e-05
94,449.473,0.8389,1.05052,0.80012,0.65014,0.83564,0.76781,0.58863,0.87907,1.0101,0.81266,4.95625e-05,4.95625e-05,4.95625e-05
95,453.784,0.80077,1.01371,0.79745,0.65243,0.83964,0.77263,0.5877,0.89753,1.00336,0.81349,4.3375e-05,4.3375e-05,4.3375e-05
96,458.078,0.79973,0.99841,0.79944,0.68911,0.86032,0.78729,0.60373,0.88587,0.96954,0.81279,3.71875e-05,3.71875e-05,3.71875e-05
97,462.559,0.80907,1.02251,0.79928,0.696,0.85209,0.7914,0.60733,0.87183,0.9537,0.81167,3.1e-05,3.1e-05,3.1e-05
98,467.144,0.80853,1.01128,0.8001,0.67517,0.86099,0.78408,0.60351,0.87442,0.96398,0.81181,2.48125e-05,2.48125e-05,2.48125e-05
99,471.8,0.81463,0.9963,0.79737,0.66492,0.86705,0.78005,0.60045,0.8789,0.9764,0.81224,1.8625e-05,1.8625e-05,1.8625e-05
100,476.089,0.78962,0.98848,0.79904,0.6578,0.86932,0.77882,0.59898,0.87557,0.9775,0.81208,1.24375e-05,1.24375e-05,1.24375e-05
